gstr2,HSNSUM,v0.3,/v0.3/returns/gstr2,API call for getting the HSN Summary details for a return period 
gstr2,HSNSUM,v0.2,/v0.2/returns/gstr2,API call for getting the HSN Summary details for a return period 
gstr2,RETSAVE,v0.3,/v0.3/returns/gstr2,Save GSTR2 data
gstr2a,B2B,v0.3,/v0.3/returns/gstr2a,API call for getting all B2B invoices for a return period
gstr2a,CDN,v0.3,/v0.3/returns/gstr2a,API call CDN for getting all Credit/Debit notes invoices for a return period.
gstr3,RETSUM,v0.3,/v0.3/returns/gstr3,Get GSTR3 Details
gstr3,RETSUM,v0.2,/0.2/returns/gstr3,Get GSTR3 Details
gstr3,GENERATE,v0.3,/v0.3/returns/gstr3,API call for generate GSTR3 details
gstr3,GENERATE,v0.2,/0.2/returns/gstr3,API call for generate GSTR3 details
gstr3,RETFILE,v0.2,/0.2/returns/gstr3,API call for filing GSTR3 
gstr3,RETFILE,v0.3,/v0.3/returns/gstr3,API call for filing GSTR3 
gstr1a,B2B,v0.3,/v0.3/returns/gstr1a,Get B2B Invoices
gstr1a,B2B,v0.2,/0.2/returns/gstr1a,Get B2B Invoices
gstr1a,B2BA,v0.3,/v0.3/returns/gstr1a,Get B2BA Invoices
gstr1a,B2BA,v0.2,/0.2/returns/gstr1a,Get B2BA Invoices
gstr1a,CDNR,v0.2,/0.2/returns/gstr1a,Get CDNR Invoices
gstr1a,CDNR,v0.3,/v0.3/returns/gstr1a,Get CDNR Invoices
gstr1a,CDNRA,v0.2,/0.2/returns/gstr1a,Get CDNRA Invoices
gstr1a,CDNRA,v0.3,/v0.3/returns/gstr1a,Get CDNRA Invoices
gstr1a,RETSUM,v0.2,/0.2/returns/gstr1a,Get GSTR1A Summary
gstr1a,RETSUM,v0.3,/v0.3/returns/gstr1a,Get GSTR1A Summary
gstr1a,RETFILE,v0.3,/v0.3/returns/gstr1a,File Gstr1A
gstr1a,RETSAVE,v0.3,/v0.3/returns/gstr1a,Save GSTR1A data
gstr1a,RETSAVE,v0.2,/0.2/returns/gstr1a,Save GSTR1A data
gstr1,RETSUBMIT,v0.2,/v0.3/returns/gstr1,Submit Gstr1
gstr1,RETSUBMIT,v0.3,/v0.2/returns/gstr1,Submit Gstr1
gstr1a,RETSUBMIT,v0.2,/v0.3/returns/gstr1a,Submit Gstr1A
gstr1a,RETSUBMIT,v0.3,/v0.3/returns/gstr1a,Submit Gstr1A
gstr3,RETSUBMIT,v0.2,/v0.2/returns/gstr3,SUBMIT GSTR3
gstr2,RETSUBMIT,v0.2,/v0.3/returns/gstr2,SUBMIT GSTR2
gstr2,RETSUBMIT,v0.3,/v0.3/returns/gstr3,SUBMIT GSTR2
gstr1,CDNUR,v0.2,/v0.2/returns/gstr1,API will call CDNUR for getting all Credit/Debit notes for Unregistered Users.
gstr1,CDNUR,v0.3,/v0.3/returns/gstr1,API will call CDNUR for getting all Credit/Debit notes for Unregistered Users.
gstr1,CDNURA,v0.2,/v0.2/returns/gstr1,API will call Amended Credit/Debit notes for Unregistered Users
gstr1,DOCISS,v0.3,/v0.3/returns/gstr1,API calls to get Documents issued during the tax period
gstr2,B2BUR,v0.3,/v0.3/returns/gstr2,API call for getting B2B Unregistered invoices for a return period
gstr2,ITCRVSL,v0.3,/v0.3/returns/gstr2,API call for getting invoices related to ITC Reversal for a return period
gstr2,CDNUR,v0.3,/v0.3/returns/gstr2,API call for getting CDN Unregistered invoices for a return period
gstr3,RETACCEPT,v0.3,/v0.3/returns/gstr3,API call for accepting the liabilities and interest from GSTR3
gstr3,RETOFFSET,v0.3,/v0.3/returns/gstr3,API call for offsetting the liabilities and interest from GSTR3 
gstr3,RETSUBMIT,v0.3,/v0.3/returns/gstr3,API call for submitting the refund claim GSTR3 
gstr3b,RETSUM,v0.3,/v0.3/returns/gstr3b,Get GSTR3B Details
gstr3b,RETSAVE,v0.3,/v0.3/returns/gstr3b,Save GSTR3B data
gstr3b,RETSUBMIT,v0.3,/v0.3/returns/gstr3b,Submit GSTR3B data
gstr3b,RETOFFSET,v0.3,/v0.3/returns/gstr3b,Offset Liability GSTR3B data
